ts,weg,richting,km,strook,beeld
2026-09-12T01:49+02:00,A15,R,47.07,3,speedlimit
2026-09-12T01:49+02:00,A15,R,49.0,1,lane_closed
2026-09-12T01:49+02:00,A15,R,62.752,1,lane_closed
2026-09-12T01:49+02:00,A13,L,16.7,1,speedlimit
2026-09-12T01:49+02:00,A15,R,46.769,1,speedlimit
2026-09-12T01:49+02:00,A15,y,47.092,2,speedlimit
2026-09-12T01:49+02:00,A15,R,63.052,3,lane_closed
2026-09-12T01:49+02:00,A16,R,39.875,1,speedlimit
2026-09-12T01:49+02:00,A15,L,76.31,1,lane_closed
2026-09-12T01:49+02:00,A15,R,59.2,2,lane_closed
2026-09-12T01:49+02:00,A15,L,75.375,4,speedlimit
2026-09-12T01:49+02:00,A15,R,45.92,4,speedlimit
2026-09-12T01:49+02:00,A20,L,30.196,2,speedlimit
2026-09-12T01:49+02:00,A15,R,45.92,2,speedlimit
2026-09-12T01:49+02:00,A13,R,16.655,1,speedlimit
2026-09-12T01:49+02:00,A13,R,17.1,2,speedlimit
2026-09-12T01:49+02:00,A15,R,61.63,4,lane_closed
2026-09-12T01:49+02:00,A4,L,5.93,1,speedlimit
2026-09-12T01:49+02:00,A4,j,4.65,2,lane_closed
2026-09-12T01:49+02:00,A15,R,62.752,2,lane_closed
2026-09-12T01:49+02:00,A15,R,61.33,5,lane_closed
2026-09-12T01:49+02:00,A29,v,10.39,1,lane_closed
2026-09-12T01:49+02:00,A15,L,74.625,2,lane_closed
2026-09-12T01:49+02:00,A15,R,58.05,4,lane_closed
2026-09-12T01:49+02:00,A15,R,55.59,2,speedlimit
2026-09-12T01:49+02:00,A16,R,39.875,3,speedlimit
2026-09-12T01:49+02:00,A15,L,77.045,4,speedlimit
2026-09-12T01:49+02:00,A15,R,48.69,1,lane_closed
2026-09-12T01:49+02:00,A15,R,55.59,1,lane_closed_ahead
2026-09-12T01:49+02:00,A15,R,47.775,1,lane_closed
2026-09-12T01:49+02:00,A13,R,18.5,1,speedlimit
2026-09-12T01:49+02:00,A4,R,3.27,4,speedlimit
2026-09-12T01:49+02:00,A15,L,73.25,1,lane_closed
2026-09-12T01:49+02:00,A20,L,29.5,2,speedlimit
2026-09-12T01:49+02:00,A15,L,74.275,3,lane_closed
2026-09-12T01:49+02:00,A15,R,63.052,2,lane_closed
2026-09-12T01:49+02:00,A13,R,18.5,4,speedlimit
2026-09-12T01:49+02:00,A15,m,58.46,3,speedlimit
2026-09-12T01:49+02:00,A13,R,18.2,3,speedlimit
2026-09-12T01:49+02:00,A15,R,49.0,3,lane_closed
2026-09-12T01:49+02:00,A20,R,28.1,1,speedlimit
2026-09-12T01:49+02:00,A20,R,30.196,3,speedlimit
2026-09-12T01:49+02:00,A15,L,73.25,2,lane_closed
2026-09-12T01:49+02:00,A15,R,47.775,5,speedlimit
2026-09-12T01:49+02:00,A16,m,39.675,1,lane_closed
2026-09-12T01:49+02:00,A15,R,46.468,1,speedlimit
2026-09-12T01:49+02:00,A4,j,4.65,1,lane_closed
2026-09-12T01:49+02:00,A15,p,50.4,1,lane_closed
2026-09-12T01:49+02:00,A15,L,73.25,3,lane_closed
2026-09-12T01:49+02:00,A20,L,36.94,1,lane_closed
2026-09-12T01:49+02:00,A4,R,2.367,4,lane_closed
2026-09-12T01:49+02:00,A15,R,58.05,1,lane_closed
2026-09-12T01:49+02:00,A15,L,76.745,2,lane_closed
2026-09-12T01:49+02:00,A15,R,58.46,2,lane_closed
2026-09-12T01:49+02:00,A15,R,46.17,3,speedlimit
2026-09-12T01:49+02:00,A15,R,56.6,3,lane_closed_ahead
2026-09-12T01:49+02:00,A15,n,95.855,3,speedlimit
2026-09-12T01:49+02:00,A15,L,75.075,1,lane_closed
2026-09-12T01:49+02:00,A13,R,17.8,2,speedlimit
2026-09-12T01:49+02:00,A15,R,61.05,6,speedlimit
2026-09-12T01:49+02:00,A4,L,5.225,6,lane_closed
2026-09-12T01:49+02:00,A15,x,56.25,1,lane_closed
2026-09-12T01:49+02:00,A20,s,29.6,2,speedlimit
2026-09-12T01:49+02:00,A15,L,65.25,2,speedlimit
2026-09-12T01:49+02:00,A15,L,65.685,3,speedlimit
2026-09-12T01:49+02:00,A15,g,62.75,1,lane_closed
2026-09-12T01:49+02:00,A15,y,47.43,2,speedlimit
2026-09-12T01:49+02:00,A16,L,57.405,1,speedlimit
2026-09-12T01:49+02:00,A16,b,38.815,1,lane_closed
2026-09-12T01:49+02:00,A15,R,58.05,2,lane_closed
2026-09-12T01:49+02:00,A15,x,46.135,3,speedlimit
2026-09-12T01:49+02:00,A20,R,26.93,4,speedlimit
2026-09-12T01:49+02:00,A20,R,28.57,3,speedlimit
2026-09-12T01:49+02:00,A15,R,63.533,2,lane_closed
2026-09-12T01:49+02:00,A15,R,61.05,1,lane_closed
2026-09-12T01:49+02:00,A29,v,10.8,1,lane_closed
