ts,weg,richting,km,strook,beeld
2026-09-11T01:49+02:00,A16,y,19.5,1,lane_closed
2026-09-11T01:49+02:00,A15,R,62.752,1,speedlimit
2026-09-11T01:49+02:00,A16,L,33.125,1,lane_closed
2026-09-11T01:49+02:00,A13,L,16.7,1,speedlimit
2026-09-11T01:49+02:00,A16,R,25.2,3,lane_closed
2026-09-11T01:49+02:00,A15,L,60.62,4,lane_closed
2026-09-11T01:49+02:00,A4,y,46.7,3,lane_closed
2026-09-11T01:49+02:00,A4,y,46.4,1,lane_closed
2026-09-11T01:49+02:00,A16,R,17.036,4,lane_closed
2026-09-11T01:49+02:00,A15,h,60.62,1,lane_closed
2026-09-11T01:49+02:00,A15,m,63.352,1,speedlimit
2026-09-11T01:49+02:00,A16,R,13.89,2,speedlimit
2026-09-11T01:49+02:00,A16,x,18.9,3,speedlimit
2026-09-11T01:49+02:00,A4,y,47.23,2,lane_closed
2026-09-11T01:49+02:00,A16,R,11.7,2,speedlimit
2026-09-11T01:49+02:00,A16,R,17.463,4,lane_closed
2026-09-11T01:49+02:00,A20,L,30.196,2,speedlimit
2026-09-11T01:49+02:00,A16,x,20.2,2,lane_closed
2026-09-11T01:49+02:00,A16,x,20.5,1,lane_closed
2026-09-11T01:49+02:00,A13,R,16.655,1,speedlimit
2026-09-11T01:49+02:00,A15,g,63.241,1,lane_closed
2026-09-11T01:49+02:00,A16,R,66.52,2,lane_closed
2026-09-11T01:49+02:00,A16,L,17.748,1,lane_closed
2026-09-11T01:49+02:00,A15,L,61.39,1,speedlimit
2026-09-11T01:49+02:00,A16,R,12.35,1,lane_closed
2026-09-11T01:49+02:00,A13,R,17.1,2,speedlimit
2026-09-11T01:49+02:00,A15,R,61.63,4,speedlimit
2026-09-11T01:49+02:00,A16,L,25.232,2,lane_closed
2026-09-11T01:49+02:00,A16,R,63.4,1,speedlimit
2026-09-11T01:49+02:00,A20,L,26.37,3,speedlimit
2026-09-11T01:49+02:00,A4,g,45.69,1,speedlimit
2026-09-11T01:49+02:00,A16,L,36.355,2,lane_closed
2026-09-11T01:49+02:00,A15,R,62.752,2,speedlimit
2026-09-11T01:49+02:00,A16,R,64.75,1,speedlimit
2026-09-11T01:49+02:00,A4,L,42.19,4,lane_closed
2026-09-11T01:49+02:00,A16,x,18.9,1,lane_closed
2026-09-11T01:49+02:00,A15,n,61.78,3,speedlimit
2026-09-11T01:49+02:00,A16,r,23.918,2,lane_closed
2026-09-11T01:49+02:00,A16,x,20.2,1,lane_closed
2026-09-11T01:49+02:00,A16,y,23.535,2,lane_closed
2026-09-11T01:49+02:00,A16,L,21.6,3,lane_closed
2026-09-11T01:49+02:00,A15,y,64.33,2,speedlimit
2026-09-11T01:49+02:00,A4,L,43.18,2,speedlimit
2026-09-11T01:49+02:00,A4,L,38.49,4,speedlimit
2026-09-11T01:49+02:00,A16,R,21.5,2,lane_closed
2026-09-11T01:49+02:00,A15,L,62.768,3,speedlimit
2026-09-11T01:49+02:00,A15,h,61.01,1,lane_closed
2026-09-11T01:49+02:00,A16,R,24.03,2,lane_closed
2026-09-11T01:49+02:00,A15,y,62.635,3,speedlimit
2026-09-11T01:49+02:00,A16,R,64.155,2,speedlimit
2026-09-11T01:49+02:00,A13,R,18.5,1,speedlimit
2026-09-11T01:49+02:00,A16,R,20.5,3,lane_closed
2026-09-11T01:49+02:00,A16,R,12.35,2,speedlimit
2026-09-11T01:49+02:00,A16,L,20.6,1,lane_closed
2026-09-11T01:49+02:00,A16,R,19.862,1,lane_closed
2026-09-11T01:49+02:00,A20,L,29.5,2,speedlimit
2026-09-11T01:49+02:00,A16,R,15.73,2,lane_closed
2026-09-11T01:49+02:00,A16,R,16.3,1,lane_closed
2026-09-11T01:49+02:00,A16,L,19.5,3,lane_closed
2026-09-11T01:49+02:00,A16,R,11.866,1,lane_closed
2026-09-11T01:49+02:00,A16,y,22.6,1,lane_closed
2026-09-11T01:49+02:00,A13,R,18.5,4,speedlimit
2026-09-11T01:49+02:00,A16,L,35.76,2,lane_closed
2026-09-11T01:49+02:00,A15,L,70.35,4,speedlimit
2026-09-11T01:49+02:00,A4,L,38.49,1,speedlimit
2026-09-11T01:49+02:00,A13,R,18.2,3,speedlimit
2026-09-11T01:49+02:00,A15,h,60.62,2,speedlimit
2026-09-11T01:49+02:00,A20,R,28.1,1,speedlimit
2026-09-11T01:49+02:00,A16,y,23.075,1,lane_closed
2026-09-11T01:49+02:00,A16,R,24.03,3,lane_closed
2026-09-11T01:49+02:00,A20,R,30.196,3,speedlimit
2026-09-11T01:49+02:00,A38,R,21.058,1,speedlimit
2026-09-11T01:49+02:00,A16,R,13.61,2,speedlimit
2026-09-11T01:49+02:00,A20,L,36.94,1,speedlimit
2026-09-11T01:49+02:00,A16,R,17.463,2,lane_closed
