ts,weg,richting,km,strook,beeld
2026-09-04T05:13+02:00,A13,L,16.7,1,speedlimit
2026-09-04T05:13+02:00,A16,R,39.875,1,speedlimit
2026-09-04T05:13+02:00,A4,n,44.282,1,speedlimit
2026-09-04T05:13+02:00,A16,R,42.24,2,speedlimit
2026-09-04T05:13+02:00,A20,L,30.196,2,speedlimit
2026-09-04T05:13+02:00,A15,R,77.003,3,speedlimit
2026-09-04T05:13+02:00,A13,R,16.655,1,speedlimit
2026-09-04T05:13+02:00,A4,L,75.5,3,speedlimit
2026-09-04T05:13+02:00,A4,L,74.404,5,speedlimit
2026-09-04T05:13+02:00,A13,R,17.1,2,speedlimit
2026-09-04T05:13+02:00,A4,m,7.0,2,speedlimit
2026-09-04T05:13+02:00,A4,m,7.0,1,speedlimit
2026-09-04T05:13+02:00,A16,L,13.47,2,speedlimit
2026-09-04T05:13+02:00,A4,L,74.404,2,lane_closed
2026-09-04T05:13+02:00,A16,R,39.875,3,speedlimit
2026-09-04T05:13+02:00,A4,L,43.18,2,speedlimit
2026-09-04T05:13+02:00,A15,R,77.003,1,speedlimit
2026-09-04T05:13+02:00,A16,R,42.24,3,speedlimit
2026-09-04T05:13+02:00,A13,R,18.5,1,speedlimit
2026-09-04T05:13+02:00,A20,L,29.5,2,speedlimit
2026-09-04T05:13+02:00,A13,R,18.5,4,speedlimit
2026-09-04T05:13+02:00,A4,m,7.3,1,speedlimit
2026-09-04T05:13+02:00,A13,R,18.2,3,speedlimit
2026-09-04T05:13+02:00,A20,R,28.1,1,speedlimit
2026-09-04T05:13+02:00,A20,R,30.196,3,speedlimit
2026-09-04T05:13+02:00,A4,R,2.367,4,lane_closed
2026-09-04T05:13+02:00,A4,L,75.105,5,speedlimit
2026-09-04T05:13+02:00,A4,L,74.737,3,speedlimit
2026-09-04T05:13+02:00,A4,m,8.15,3,speedlimit
2026-09-04T05:13+02:00,A15,n,95.855,3,speedlimit
2026-09-04T05:13+02:00,A13,R,17.8,2,speedlimit
2026-09-04T05:13+02:00,A20,s,29.6,2,speedlimit
2026-09-04T05:13+02:00,A16,L,14.17,2,speedlimit
2026-09-04T05:13+02:00,A15,L,65.25,2,speedlimit
2026-09-04T05:13+02:00,A16,L,13.19,2,speedlimit
2026-09-04T05:13+02:00,A15,L,65.685,3,speedlimit
2026-09-04T05:13+02:00,A20,R,26.93,4,speedlimit
2026-09-04T05:13+02:00,A20,R,28.57,3,speedlimit
2026-09-04T05:13+02:00,A4,L,2.447,4,lane_closed
2026-09-04T05:13+02:00,A13,L,18.8,2,speedlimit
2026-09-04T05:13+02:00,A20,R,27.235,1,speedlimit
2026-09-04T05:13+02:00,A20,L,28.41,2,speedlimit
2026-09-04T05:13+02:00,A16,R,41.96,3,lane_closed
2026-09-04T05:13+02:00,A16,L,13.89,1,speedlimit
2026-09-04T05:13+02:00,A20,R,27.79,2,speedlimit
2026-09-04T05:13+02:00,A13,R,18.5,3,speedlimit
2026-09-04T05:13+02:00,A20,R,28.57,4,speedlimit
2026-09-04T05:13+02:00,A20,R,31.26,4,speedlimit
2026-09-04T05:13+02:00,A20,L,29.826,2,speedlimit
2026-09-04T05:13+02:00,A20,L,28.57,1,speedlimit
2026-09-04T05:13+02:00,A4,n,43.673,1,speedlimit
2026-09-04T05:13+02:00,A20,R,29.5,4,speedlimit
2026-09-04T05:13+02:00,A4,m,6.901,1,speedlimit
2026-09-04T05:13+02:00,A20,R,28.1,2,speedlimit
2026-09-04T05:13+02:00,A20,R,26.64,1,speedlimit
2026-09-04T05:13+02:00,A15,L,64.2,2,speedlimit
2026-09-04T05:13+02:00,A20,L,32.8,2,speedlimit
2026-09-04T05:13+02:00,A15,L,65.25,4,speedlimit
2026-09-04T05:13+02:00,A13,L,17.1,3,speedlimit
2026-09-04T05:13+02:00,A4,n,44.64,2,lane_closed_ahead
2026-09-04T05:13+02:00,A16,R,40.4,1,speedlimit
2026-09-04T05:13+02:00,A16,R,40.93,1,speedlimit
2026-09-04T05:13+02:00,A20,L,27.488,1,speedlimit
2026-09-04T05:13+02:00,A20,L,27.2,1,speedlimit
2026-09-04T05:13+02:00,A16,L,13.47,1,speedlimit
2026-09-04T05:13+02:00,A16,R,41.96,2,speedlimit
2026-09-04T05:13+02:00,A4,h,46.06,2,speedlimit
2026-09-04T05:13+02:00,A20,L,27.8,2,speedlimit
2026-09-04T05:13+02:00,A13,L,18.2,3,speedlimit
2026-09-04T05:13+02:00,A4,L,74.737,2,lane_closed
2026-09-04T05:13+02:00,A20,L,31.88,1,speedlimit
2026-09-04T05:13+02:00,A13,L,16.7,2,speedlimit
2026-09-04T05:13+02:00,A20,L,30.9,2,speedlimit
2026-09-04T05:13+02:00,A4,n,44.282,3,speedlimit
2026-09-04T05:13+02:00,A20,L,28.085,1,speedlimit
2026-09-04T05:13+02:00,A4,m,8.15,1,speedlimit
2026-09-04T05:13+02:00,A15,q,50.745,2,speedlimit
2026-09-04T05:13+02:00,A20,R,30.6,1,speedlimit
2026-09-04T05:13+02:00,A13,R,17.1,3,speedlimit
2026-09-04T05:13+02:00,A16,L,13.05,2,speedlimit
2026-09-04T05:13+02:00,A4,L,44.01,3,speedlimit
2026-09-04T05:13+02:00,A20,R,26.93,3,speedlimit
2026-09-04T05:13+02:00,A20,L,31.4,1,speedlimit
2026-09-04T05:13+02:00,A15,s,50.745,1,speedlimit
2026-09-04T05:13+02:00,A4,L,42.775,2,speedlimit
2026-09-04T05:13+02:00,A4,L,74.404,1,lane_closed
2026-09-04T05:13+02:00,A4,m,7.3,2,speedlimit
2026-09-04T05:13+02:00,A4,m,7.2,1,speedlimit
2026-09-04T05:13+02:00,A20,L,31.1,2,speedlimit
2026-09-04T05:13+02:00,A13,g,18.7,2,speedlimit
2026-09-04T05:13+02:00,A15,L,65.685,2,speedlimit
2026-09-04T05:13+02:00,A20,L,31.4,2,speedlimit
2026-09-04T05:13+02:00,A16,L,14.32,1,speedlimit
2026-09-04T05:13+02:00,A4,n,43.673,2,lane_closed
2026-09-04T05:13+02:00,A13,L,15.9,3,lane_closed
2026-09-04T05:13+02:00,A4,L,2.006,4,lane_closed
2026-09-04T05:13+02:00,A4,n,44.64,1,speedlimit
2026-09-04T05:13+02:00,A13,R,16.2,1,speedlimit
2026-09-04T05:13+02:00,A13,R,18.5,2,speedlimit
2026-09-04T05:13+02:00,A4,L,74.737,4,speedlimit
2026-09-04T05:13+02:00,A20,L,30.196,1,speedlimit
2026-09-04T05:13+02:00,A16,L,13.19,1,speedlimit
2026-09-04T05:13+02:00,A4,L,44.01,2,speedlimit
2026-09-04T05:13+02:00,A20,R,27.79,1,speedlimit
2026-09-04T05:13+02:00,A20,L,29.826,1,speedlimit
2026-09-04T05:13+02:00,A4,m,7.4,1,speedlimit
2026-09-04T05:13+02:00,A20,R,28.41,2,speedlimit
2026-09-04T05:13+02:00,A4,n,44.282,4,speedlimit
2026-09-04T05:13+02:00,A16,L,14.17,1,speedlimit
2026-09-04T05:13+02:00,A4,n,44.942,2,speedlimit
2026-09-04T05:13+02:00,A4,L,42.775,3,speedlimit
2026-09-04T05:13+02:00,A15,q,50.745,1,speedlimit
2026-09-04T05:13+02:00,A20,R,29.1,1,speedlimit
2026-09-04T05:13+02:00,A13,R,17.8,1,speedlimit
2026-09-04T05:13+02:00,A20,R,28.41,1,speedlimit
2026-09-04T05:13+02:00,A20,R,31.9,2,speedlimit
2026-09-04T05:13+02:00,A20,L,31.1,3,speedlimit
2026-09-04T05:13+02:00,A20,R,27.488,2,speedlimit
2026-09-04T05:13+02:00,A20,t,28.895,1,speedlimit
2026-09-04T05:13+02:00,A20,L,32.8,1,speedlimit
2026-09-04T05:13+02:00,A4,L,74.737,5,speedlimit
2026-09-04T05:13+02:00,A20,R,28.8,2,speedlimit
2026-09-04T05:13+02:00,A16,R,40.4,3,lane_closed_ahead
2026-09-04T05:13+02:00,A20,L,31.1,1,speedlimit
2026-09-04T05:13+02:00,A13,L,16.19,3,lane_closed
2026-09-04T05:13+02:00,A13,L,15.035,5,lane_closed
2026-09-04T05:13+02:00,A20,L,27.8,1,speedlimit
2026-09-04T05:13+02:00,A16,L,14.32,2,speedlimit
2026-09-04T05:13+02:00,A20,R,29.1,2,speedlimit
2026-09-04T05:13+02:00,A16,L,13.61,2,speedlimit
2026-09-04T05:13+02:00,A13,g,18.7,1,speedlimit
2026-09-04T05:13+02:00,A16,L,13.33,1,speedlimit
2026-09-04T05:13+02:00,A4,L,75.105,4,speedlimit
2026-09-04T05:13+02:00,A20,R,28.57,2,speedlimit
2026-09-04T05:13+02:00,A20,R,26.64,2,speedlimit
2026-09-04T05:13+02:00,A15,L,64.2,3,speedlimit
2026-09-04T05:13+02:00,A20,L,29.1,1,speedlimit
2026-09-04T05:13+02:00,A13,L,18.2,1,speedlimit
2026-09-04T05:13+02:00,A15,L,64.67,2,speedlimit
2026-09-04T05:13+02:00,A13,L,12.7,4,lane_closed
2026-09-04T05:13+02:00,A20,L,31.88,2,speedlimit
2026-09-04T05:13+02:00,A13,L,19.7,2,speedlimit
2026-09-04T05:13+02:00,A20,L,28.085,2,speedlimit
2026-09-04T05:13+02:00,A16,R,41.53,1,speedlimit
2026-09-04T05:13+02:00,A20,R,30.6,3,speedlimit
2026-09-04T05:13+02:00,A15,t,50.67,1,speedlimit
2026-09-04T05:13+02:00,A20,R,29.8,2,speedlimit
2026-09-04T05:13+02:00,A15,L,64.2,1,lane_closed
2026-09-04T05:13+02:00,A20,R,27.235,2,speedlimit
2026-09-04T05:13+02:00,A4,L,43.18,1,speedlimit
2026-09-04T05:13+02:00,A13,R,18.2,1,speedlimit
2026-09-04T05:13+02:00,A15,L,65.25,1,lane_closed_ahead
2026-09-04T05:13+02:00,A15,e,95.55,1,speedlimit
