ts,weg,richting,km,strook,beeld
2026-09-10T01:50+02:00,A16,y,19.5,1,lane_closed
2026-09-10T01:50+02:00,A15,R,62.752,1,speedlimit
2026-09-10T01:50+02:00,A16,L,33.125,1,speedlimit
2026-09-10T01:50+02:00,A13,L,16.7,1,lane_closed
2026-09-10T01:50+02:00,A16,R,25.2,3,lane_closed
2026-09-10T01:50+02:00,A15,L,60.62,4,lane_closed
2026-09-10T01:50+02:00,A16,R,17.036,4,lane_closed
2026-09-10T01:50+02:00,A15,h,60.62,1,lane_closed
2026-09-10T01:50+02:00,A15,m,63.352,1,speedlimit
2026-09-10T01:50+02:00,A16,R,13.89,2,speedlimit
2026-09-10T01:50+02:00,A16,x,18.9,3,speedlimit
2026-09-10T01:50+02:00,A16,R,11.7,2,speedlimit
2026-09-10T01:50+02:00,A16,R,17.463,4,lane_closed
2026-09-10T01:50+02:00,A16,n,34.44,2,lane_closed
2026-09-10T01:50+02:00,A20,L,30.196,2,speedlimit
2026-09-10T01:50+02:00,A16,x,20.2,2,lane_closed
2026-09-10T01:50+02:00,A16,x,20.5,1,lane_closed
2026-09-10T01:50+02:00,A13,R,16.655,1,lane_closed
2026-09-10T01:50+02:00,A15,g,63.241,1,lane_closed
2026-09-10T01:50+02:00,A16,L,17.748,1,lane_closed
2026-09-10T01:50+02:00,A15,L,61.39,1,speedlimit
2026-09-10T01:50+02:00,A16,R,12.35,1,lane_closed
2026-09-10T01:50+02:00,A13,R,17.1,2,lane_closed
2026-09-10T01:50+02:00,A15,R,61.63,4,speedlimit
2026-09-10T01:50+02:00,A16,L,25.232,2,lane_closed
2026-09-10T01:50+02:00,A16,n,33.784,1,lane_closed
2026-09-10T01:50+02:00,A16,L,36.355,2,speedlimit
2026-09-10T01:50+02:00,A15,R,62.752,2,speedlimit
2026-09-10T01:50+02:00,A4,L,42.19,4,lane_closed
2026-09-10T01:50+02:00,A16,x,18.9,1,lane_closed
2026-09-10T01:50+02:00,A15,L,43.46,2,speedlimit
2026-09-10T01:50+02:00,A15,n,61.78,3,speedlimit
2026-09-10T01:50+02:00,A16,r,23.918,2,lane_closed
2026-09-10T01:50+02:00,A16,n,34.6,2,lane_closed
2026-09-10T01:50+02:00,A16,x,20.2,1,lane_closed
2026-09-10T01:50+02:00,A16,y,23.535,2,lane_closed
2026-09-10T01:50+02:00,A16,L,21.6,3,lane_closed
2026-09-10T01:50+02:00,A4,L,43.18,2,speedlimit
2026-09-10T01:50+02:00,A16,R,21.5,2,lane_closed
2026-09-10T01:50+02:00,A15,L,62.768,3,speedlimit
2026-09-10T01:50+02:00,A15,h,61.01,1,lane_closed
2026-09-10T01:50+02:00,A16,R,24.03,2,lane_closed
2026-09-10T01:50+02:00,A15,y,62.635,3,speedlimit
2026-09-10T01:50+02:00,A13,R,18.5,1,lane_closed
2026-09-10T01:50+02:00,A16,R,20.5,3,lane_closed
2026-09-10T01:50+02:00,A16,R,12.35,2,speedlimit
2026-09-10T01:50+02:00,A16,L,20.6,1,lane_closed
2026-09-10T01:50+02:00,A16,R,19.862,1,lane_closed
2026-09-10T01:50+02:00,A20,L,29.5,2,speedlimit
2026-09-10T01:50+02:00,A16,R,15.73,2,lane_closed
2026-09-10T01:50+02:00,A16,R,16.3,1,lane_closed
2026-09-10T01:50+02:00,A16,L,19.5,3,lane_closed
2026-09-10T01:50+02:00,A16,R,11.866,1,lane_closed
2026-09-10T01:50+02:00,A16,y,22.6,1,lane_closed
2026-09-10T01:50+02:00,A13,R,18.5,4,lane_closed
2026-09-10T01:50+02:00,A16,L,35.76,2,speedlimit
2026-09-10T01:50+02:00,A15,L,70.35,4,speedlimit
2026-09-10T01:50+02:00,A13,R,18.2,3,lane_closed
2026-09-10T01:50+02:00,A15,h,60.62,2,speedlimit
2026-09-10T01:50+02:00,A20,R,28.1,1,speedlimit
2026-09-10T01:50+02:00,A16,y,23.075,1,lane_closed
2026-09-10T01:50+02:00,A16,R,24.03,3,lane_closed
2026-09-10T01:50+02:00,A20,R,30.196,3,speedlimit
2026-09-10T01:50+02:00,A16,R,13.61,2,speedlimit
2026-09-10T01:50+02:00,A16,n,33.904,2,lane_closed
2026-09-10T01:50+02:00,A20,L,36.94,1,speedlimit
2026-09-10T01:50+02:00,A16,R,17.463,2,lane_closed
2026-09-10T01:50+02:00,A4,R,2.367,4,lane_closed
2026-09-10T01:50+02:00,A13,R,13.235,1,speedlimit
2026-09-10T01:50+02:00,A16,b,11.392,1,speedlimit
2026-09-10T01:50+02:00,A16,L,38.22,2,speedlimit
2026-09-10T01:50+02:00,A38,R,20.05,1,speedlimit
2026-09-10T01:50+02:00,A15,n,95.855,3,speedlimit
2026-09-10T01:50+02:00,A16,L,28.74,4,speedlimit
2026-09-10T01:50+02:00,A13,R,17.8,2,lane_closed
2026-09-10T01:50+02:00,A20,L,36.625,5,lane_closed
2026-09-10T01:50+02:00,A15,L,62.43,4,lane_closed
2026-09-10T01:50+02:00,A16,L,35.205,4,lane_closed
2026-09-10T01:50+02:00,A16,R,20.2,1,lane_closed
2026-09-10T01:50+02:00,A20,s,29.6,2,speedlimit
2026-09-10T01:50+02:00,A15,L,65.25,2,speedlimit
2026-09-10T01:50+02:00,A16,L,22.2,1,lane_closed
2026-09-10T01:50+02:00,A15,L,65.685,3,speedlimit
2026-09-10T01:50+02:00,A16,L,27.95,1,lane_closed
2026-09-10T01:50+02:00,A16,R,14.03,2,speedlimit
2026-09-10T01:50+02:00,A15,g,62.75,1,lane_closed
2026-09-10T01:50+02:00,A16,L,21.1,1,lane_closed
2026-09-10T01:50+02:00,A16,L,25.232,4,lane_closed
2026-09-10T01:50+02:00,A16,R,25.2,1,lane_closed
2026-09-10T01:50+02:00,A16,R,14.03,1,lane_closed
2026-09-10T01:50+02:00,A15,y,63.3,1,speedlimit
2026-09-10T01:50+02:00,A20,R,26.93,4,speedlimit
2026-09-10T01:50+02:00,A16,L,29.02,2,lane_closed
2026-09-10T01:50+02:00,A20,R,28.57,3,speedlimit
2026-09-10T01:50+02:00,A15,L,70.95,3,speedlimit
2026-09-10T01:50+02:00,A16,L,36.355,3,lane_closed
2026-09-10T01:50+02:00,A16,x,18.229,1,lane_closed
2026-09-10T01:50+02:00,A16,R,12.77,1,lane_closed
2026-09-10T01:50+02:00,A16,R,25.66,1,lane_closed
2026-09-10T01:50+02:00,A20,L,36.625,2,speedlimit
2026-09-10T01:50+02:00,A16,R,20.2,3,lane_closed
2026-09-10T01:50+02:00,A13,R,14.38,3,lane_closed
2026-09-10T01:50+02:00,A4,L,2.447,4,lane_closed
2026-09-10T01:50+02:00,A13,L,18.8,2,speedlimit
2026-09-10T01:50+02:00,A15,R,62.454,3,speedlimit
2026-09-10T01:50+02:00,A20,R,27.235,1,speedlimit
2026-09-10T01:50+02:00,A15,L,62.768,4,lane_closed_ahead
2026-09-10T01:50+02:00,A20,L,28.41,2,speedlimit
2026-09-10T01:50+02:00,A15,n,62.25,2,speedlimit
2026-09-10T01:50+02:00,A20,R,27.79,2,speedlimit
2026-09-10T01:50+02:00,A13,R,18.5,3,lane_closed
2026-09-10T01:50+02:00,A20,R,28.57,4,speedlimit
2026-09-10T01:50+02:00,A20,R,31.26,4,speedlimit
2026-09-10T01:50+02:00,A20,L,29.826,2,speedlimit
2026-09-10T01:50+02:00,A16,n,33.61,1,lane_closed
2026-09-10T01:50+02:00,A20,L,28.57,1,speedlimit
2026-09-10T01:50+02:00,A4,n,43.673,1,speedlimit
2026-09-10T01:50+02:00,A16,L,27.95,3,lane_closed
2026-09-10T01:50+02:00,A16,n,33.354,2,lane_closed
2026-09-10T01:50+02:00,A16,L,38.22,1,speedlimit
2026-09-10T01:50+02:00,A20,R,29.5,4,speedlimit
2026-09-10T01:50+02:00,A15,L,62.768,1,speedlimit
2026-09-10T01:50+02:00,A16,R,23.2,2,lane_closed
2026-09-10T01:50+02:00,A16,R,24.71,3,lane_closed
2026-09-10T01:50+02:00,A16,R,16.3,3,lane_closed
2026-09-10T01:50+02:00,A16,L,20.3,3,lane_closed
2026-09-10T01:50+02:00,A16,L,34.6,1,speedlimit
2026-09-10T01:50+02:00,A16,x,21.9,2,lane_closed
2026-09-10T01:50+02:00,A20,R,28.1,2,speedlimit
2026-09-10T01:50+02:00,A20,R,26.64,1,speedlimit
2026-09-10T01:50+02:00,A16,R,22.7,5,lane_closed
2026-09-10T01:50+02:00,A15,g,63.761,2,lane_closed
2026-09-10T01:50+02:00,A15,L,64.2,2,speedlimit
2026-09-10T01:50+02:00,A4,L,41.6,4,lane_closed
2026-09-10T01:50+02:00,A16,x,17.813,1,lane_closed
2026-09-10T01:50+02:00,A16,L,24.82,3,lane_closed
2026-09-10T01:50+02:00,A20,L,32.8,2,speedlimit
2026-09-10T01:50+02:00,A16,L,30.73,4,speedlimit
2026-09-10T01:50+02:00,A16,L,26.05,1,lane_closed
2026-09-10T01:50+02:00,A15,L,65.25,4,speedlimit
2026-09-10T01:50+02:00,A16,L,21.6,2,lane_closed
2026-09-10T01:50+02:00,A13,L,17.1,3,speedlimit
2026-09-10T01:50+02:00,A16,R,12.49,1,lane_closed
2026-09-10T01:50+02:00,A15,L,70.35,2,lane_closed
2026-09-10T01:50+02:00,A16,L,25.232,1,lane_closed
2026-09-10T01:50+02:00,A16,b,19.862,1,lane_closed
2026-09-10T01:50+02:00,A20,L,37.3,3,speedlimit
2026-09-10T01:50+02:00,A20,L,36.625,1,speedlimit
2026-09-10T01:50+02:00,A15,R,62.454,2,speedlimit
2026-09-10T01:50+02:00,A16,L,35.76,1,speedlimit
2026-09-10T01:50+02:00,A15,m,62.998,3,speedlimit
2026-09-10T01:50+02:00,A15,L,43.46,4,speedlimit
2026-09-10T01:50+02:00,A16,y,23.9,1,lane_closed
2026-09-10T01:50+02:00,A20,L,27.488,1,speedlimit
2026-09-10T01:50+02:00,A16,n,34.018,1,lane_closed
2026-09-10T01:50+02:00,A16,L,33.354,2,speedlimit
2026-09-10T01:50+02:00,A16,y,20.6,1,lane_closed
2026-09-10T01:50+02:00,A20,L,27.2,1,speedlimit
2026-09-10T01:50+02:00,A4,h,46.06,2,speedlimit
2026-09-10T01:50+02:00,A15,L,62.43,1,speedlimit
2026-09-10T01:50+02:00,A20,L,27.8,2,speedlimit
2026-09-10T01:50+02:00,A16,n,33.61,2,lane_closed
2026-09-10T01:50+02:00,A15,L,70.655,3,speedlimit
2026-09-10T01:50+02:00,A16,L,33.125,4,lane_closed
2026-09-10T01:50+02:00,A15,L,71.42,4,speedlimit
2026-09-10T01:50+02:00,A16,L,20.6,2,lane_closed
2026-09-10T01:50+02:00,A16,L,23.535,1,lane_closed
2026-09-10T01:50+02:00,A16,R,13.05,2,speedlimit
2026-09-10T01:50+02:00,A13,L,18.2,3,speedlimit
2026-09-10T01:50+02:00,A16,R,12.07,2,speedlimit
2026-09-10T01:50+02:00,A16,L,31.425,4,speedlimit
2026-09-10T01:50+02:00,A16,R,11.392,1,lane_closed_ahead
2026-09-10T01:50+02:00,A16,L,22.2,2,lane_closed
2026-09-10T01:50+02:00,A16,L,19.0,3,lane_closed
2026-09-10T01:50+02:00,A16,L,35.205,2,speedlimit
2026-09-10T01:50+02:00,A16,L,24.82,1,lane_closed
2026-09-10T01:50+02:00,A16,R,13.61,1,lane_closed
2026-09-10T01:50+02:00,A20,L,31.88,1,speedlimit
2026-09-10T01:50+02:00,A16,R,11.392,2,speedlimit
2026-09-10T01:50+02:00,A16,L,29.37,4,speedlimit
2026-09-10T01:50+02:00,A16,d,35.7,1,lane_closed
2026-09-10T01:50+02:00,A13,L,16.7,2,speedlimit
2026-09-10T01:50+02:00,A20,L,30.9,2,speedlimit
2026-09-10T01:50+02:00,A16,n,34.225,1,lane_closed
2026-09-10T01:50+02:00,A15,L,70.655,2,lane_closed
2026-09-10T01:50+02:00,A20,L,36.625,3,speedlimit
2026-09-10T01:50+02:00,A16,R,21.5,1,lane_closed
2026-09-10T01:50+02:00,A20,L,28.085,1,speedlimit
2026-09-10T01:50+02:00,A16,x,18.229,2,speedlimit
2026-09-10T01:50+02:00,A15,L,71.9,2,speedlimit
2026-09-10T01:50+02:00,A16,y,23.535,1,lane_closed
2026-09-10T01:50+02:00,A15,h,70.04,2,lane_closed
2026-09-10T01:50+02:00,A16,L,26.05,2,lane_closed
2026-09-10T01:50+02:00,A13,R,13.7,1,speedlimit
2026-09-10T01:50+02:00,A16,R,22.7,4,lane_closed
2026-09-10T01:50+02:00,A16,L,33.354,1,speedlimit
2026-09-10T01:50+02:00,A16,L,18.2,2,lane_closed
2026-09-10T01:50+02:00,A20,R,30.6,1,speedlimit
2026-09-10T01:50+02:00,A13,R,17.1,3,lane_closed
2026-09-10T01:50+02:00,A16,x,25.2,3,speedlimit
2026-09-10T01:50+02:00,A15,R,62.752,4,speedlimit
2026-09-10T01:50+02:00,A16,L,38.73,1,speedlimit
2026-09-10T01:50+02:00,A20,R,26.93,3,speedlimit
