ts,weg,richting,km,strook,beeld
2026-09-15T01:49+02:00,A15,n,58.0,1,lane_closed
2026-09-15T01:49+02:00,A13,L,16.7,1,speedlimit
2026-09-15T01:49+02:00,A4,L,39.81,4,speedlimit
2026-09-15T01:49+02:00,A16,L,9.75,3,lane_closed
2026-09-15T01:49+02:00,A16,R,13.89,2,speedlimit
2026-09-15T01:49+02:00,A15,R,84.87,1,speedlimit
2026-09-15T01:49+02:00,A16,R,11.7,2,speedlimit
2026-09-15T01:49+02:00,A20,L,30.196,2,speedlimit
2026-09-15T01:49+02:00,A16,R,10.5,4,speedlimit
2026-09-15T01:49+02:00,A16,R,32.22,3,speedlimit
2026-09-15T01:49+02:00,A13,R,16.655,1,speedlimit
2026-09-15T01:49+02:00,A16,L,17.748,1,lane_closed_ahead
2026-09-15T01:49+02:00,A16,R,12.35,1,lane_closed
2026-09-15T01:49+02:00,A13,R,17.1,2,speedlimit
2026-09-15T01:49+02:00,A15,y,56.085,3,speedlimit
2026-09-15T01:49+02:00,A16,L,16.935,5,speedlimit
2026-09-15T01:49+02:00,A16,L,13.47,2,lane_closed
2026-09-15T01:49+02:00,A4,L,42.19,4,speedlimit
2026-09-15T01:49+02:00,A15,R,83.55,3,lane_closed
2026-09-15T01:49+02:00,A16,R,7.15,3,speedlimit
2026-09-15T01:49+02:00,A4,L,43.18,2,speedlimit
2026-09-15T01:49+02:00,A15,L,59.95,2,speedlimit
2026-09-15T01:49+02:00,A13,R,18.5,1,speedlimit
2026-09-15T01:49+02:00,A16,R,9.95,1,lane_closed
2026-09-15T01:49+02:00,A16,R,12.35,2,speedlimit
2026-09-15T01:49+02:00,A15,L,56.085,3,lane_closed
2026-09-15T01:49+02:00,A29,u,10.13,1,speedlimit
2026-09-15T01:49+02:00,A20,L,29.5,2,speedlimit
2026-09-15T01:49+02:00,A16,R,15.73,2,speedlimit
2026-09-15T01:49+02:00,A16,R,11.866,1,lane_closed
2026-09-15T01:49+02:00,A29,u,9.49,1,lane_closed_ahead
2026-09-15T01:49+02:00,A13,R,18.5,4,speedlimit
2026-09-15T01:49+02:00,A20,s,35.87,1,lane_closed
2026-09-15T01:49+02:00,A13,R,18.2,3,speedlimit
2026-09-15T01:49+02:00,A16,R,10.5,3,speedlimit
2026-09-15T01:49+02:00,A20,R,28.1,1,speedlimit
2026-09-15T01:49+02:00,A16,d,10.9,2,lane_closed
2026-09-15T01:49+02:00,A20,R,30.196,3,speedlimit
2026-09-15T01:49+02:00,A16,L,12.49,2,lane_closed
2026-09-15T01:49+02:00,A16,R,13.61,2,speedlimit
2026-09-15T01:49+02:00,A15,L,58.47,1,speedlimit
2026-09-15T01:49+02:00,A20,L,36.94,1,lane_closed
2026-09-15T01:49+02:00,A4,R,2.367,4,lane_closed
2026-09-15T01:49+02:00,A16,L,12.35,1,lane_closed
2026-09-15T01:49+02:00,A16,b,11.392,1,speedlimit
2026-09-15T01:49+02:00,A16,L,10.09,2,lane_closed
2026-09-15T01:49+02:00,A15,n,95.855,3,speedlimit
2026-09-15T01:49+02:00,A13,R,17.8,2,speedlimit
2026-09-15T01:49+02:00,A20,L,36.625,5,lane_closed
2026-09-15T01:49+02:00,A20,s,29.6,2,speedlimit
2026-09-15T01:49+02:00,A16,L,14.17,2,lane_closed
2026-09-15T01:49+02:00,A15,L,65.25,2,speedlimit
2026-09-15T01:49+02:00,A16,L,13.19,2,lane_closed
2026-09-15T01:49+02:00,A15,L,65.685,3,speedlimit
2026-09-15T01:49+02:00,A16,R,14.03,2,speedlimit
2026-09-15T01:49+02:00,A16,R,14.03,1,lane_closed
2026-09-15T01:49+02:00,A20,R,26.93,4,speedlimit
2026-09-15T01:49+02:00,A20,R,28.57,3,speedlimit
2026-09-15T01:49+02:00,A16,R,12.77,1,lane_closed
2026-09-15T01:49+02:00,A15,L,56.8,1,speedlimit
