ts,weg,richting,km,strook,beeld
2026-09-16T01:49+02:00,A15,n,58.0,1,lane_closed
2026-09-16T01:49+02:00,A13,L,16.7,1,speedlimit
2026-09-16T01:49+02:00,A4,R,54.927,3,speedlimit
2026-09-16T01:49+02:00,A4,L,53.954,2,speedlimit
2026-09-16T01:49+02:00,A16,L,9.75,3,speedlimit
2026-09-16T01:49+02:00,A16,R,13.89,2,lane_closed
2026-09-16T01:49+02:00,A4,R,50.898,4,speedlimit
2026-09-16T01:49+02:00,A16,R,11.7,2,lane_closed
2026-09-16T01:49+02:00,A20,L,30.196,2,speedlimit
2026-09-16T01:49+02:00,A16,R,10.5,4,lane_closed
2026-09-16T01:49+02:00,A16,g,14.768,1,lane_closed
2026-09-16T01:49+02:00,A16,R,32.22,3,speedlimit
2026-09-16T01:49+02:00,A13,R,16.655,1,speedlimit
2026-09-16T01:49+02:00,A16,L,17.748,1,lane_closed_ahead
2026-09-16T01:49+02:00,A16,R,12.35,1,lane_closed
2026-09-16T01:49+02:00,A13,R,17.1,2,speedlimit
2026-09-16T01:49+02:00,A15,R,80.6,2,speedlimit
2026-09-16T01:49+02:00,A15,y,56.085,3,speedlimit
2026-09-16T01:49+02:00,A15,R,79.73,1,speedlimit
2026-09-16T01:49+02:00,A16,L,16.935,5,speedlimit
2026-09-16T01:49+02:00,A16,L,13.47,2,speedlimit
2026-09-16T01:49+02:00,A4,L,42.19,4,lane_closed
2026-09-16T01:49+02:00,A4,R,50.898,3,speedlimit
2026-09-16T01:49+02:00,A15,R,83.55,3,speedlimit
2026-09-16T01:49+02:00,A16,R,7.15,3,speedlimit
2026-09-16T01:49+02:00,A4,L,55.15,2,speedlimit
2026-09-16T01:49+02:00,A16,L,9.35,2,lane_closed
2026-09-16T01:49+02:00,A4,L,43.18,2,speedlimit
2026-09-16T01:49+02:00,A15,L,59.95,2,speedlimit
2026-09-16T01:49+02:00,A4,R,54.487,2,speedlimit
2026-09-16T01:49+02:00,A13,R,18.5,1,speedlimit
2026-09-16T01:49+02:00,A16,R,9.95,1,lane_closed
2026-09-16T01:49+02:00,A16,R,12.35,2,lane_closed
2026-09-16T01:49+02:00,A15,L,56.085,3,lane_closed
2026-09-16T01:49+02:00,A29,u,10.13,1,speedlimit
2026-09-16T01:49+02:00,A20,L,29.5,2,speedlimit
