ts,weg,richting,km,strook,beeld
2026-09-05T01:53+02:00,A15,R,47.07,3,lane_closed
2026-09-05T01:53+02:00,A15,R,49.0,1,lane_closed
2026-09-05T01:53+02:00,A15,R,44.44,2,lane_closed
2026-09-05T01:53+02:00,A13,L,16.7,1,speedlimit
2026-09-05T01:53+02:00,A4,R,72.321,1,lane_closed
2026-09-05T01:53+02:00,A15,R,46.769,1,lane_closed
2026-09-05T01:53+02:00,A4,R,61.555,3,speedlimit
2026-09-05T01:53+02:00,A4,R,70.711,2,lane_closed_ahead
2026-09-05T01:53+02:00,A15,R,71.42,4,speedlimit
2026-09-05T01:53+02:00,A16,y,27.95,2,speedlimit
2026-09-05T01:53+02:00,A15,R,71.42,2,lane_closed
2026-09-05T01:53+02:00,A15,R,59.2,2,lane_closed
2026-09-05T01:53+02:00,A15,R,45.92,4,lane_closed
2026-09-05T01:53+02:00,A20,L,30.196,2,speedlimit
2026-09-05T01:53+02:00,A15,R,72.96,1,lane_closed
2026-09-05T01:53+02:00,A15,R,77.003,3,speedlimit
2026-09-05T01:53+02:00,A20,L,25.7,1,speedlimit
2026-09-05T01:53+02:00,A4,R,61.825,2,speedlimit
2026-09-05T01:53+02:00,A15,R,45.92,2,lane_closed
2026-09-05T01:53+02:00,A15,x,54.7,2,speedlimit
2026-09-05T01:53+02:00,A15,R,52.92,1,lane_closed
2026-09-05T01:53+02:00,A13,R,16.655,1,speedlimit
2026-09-05T01:53+02:00,A13,R,17.1,2,speedlimit
2026-09-05T01:53+02:00,A20,L,25.3,2,speedlimit
2026-09-05T01:53+02:00,A15,R,54.04,1,lane_closed
2026-09-05T01:53+02:00,A15,R,45.68,1,lane_closed
2026-09-05T01:53+02:00,A20,L,26.37,3,lane_closed_ahead
2026-09-05T01:53+02:00,A20,L,25.95,2,speedlimit
2026-09-05T01:53+02:00,A4,L,5.93,1,speedlimit
2026-09-05T01:53+02:00,A15,R,73.92,2,lane_closed
2026-09-05T01:53+02:00,A15,R,44.44,3,lane_closed
2026-09-05T01:53+02:00,A15,R,58.05,4,lane_closed
2026-09-05T01:53+02:00,A15,R,53.47,3,lane_closed
2026-09-05T01:53+02:00,A15,R,55.59,2,lane_closed
2026-09-05T01:53+02:00,A15,R,51.28,1,lane_closed
2026-09-05T01:53+02:00,A15,x,49.37,1,lane_closed
2026-09-05T01:53+02:00,A15,R,43.57,4,speedlimit
2026-09-05T01:53+02:00,A15,R,48.69,1,lane_closed
2026-09-05T01:53+02:00,A15,R,55.59,1,lane_closed
2026-09-05T01:53+02:00,A15,R,77.003,1,speedlimit
2026-09-05T01:53+02:00,A15,R,47.775,1,lane_closed
2026-09-05T01:53+02:00,A4,R,62.135,1,speedlimit
2026-09-05T01:53+02:00,A4,R,61.98,3,speedlimit
2026-09-05T01:53+02:00,A13,R,18.5,1,speedlimit
2026-09-05T01:53+02:00,A4,R,63.075,3,speedlimit
2026-09-05T01:53+02:00,A20,L,29.5,2,speedlimit
2026-09-05T01:53+02:00,A15,R,50.87,1,lane_closed
2026-09-05T01:53+02:00,A13,R,18.5,4,speedlimit
2026-09-05T01:53+02:00,A15,R,43.57,2,lane_closed
2026-09-05T01:53+02:00,A13,R,18.2,3,speedlimit
2026-09-05T01:53+02:00,A15,R,49.0,3,lane_closed
2026-09-05T01:53+02:00,A15,x,54.7,1,lane_closed
2026-09-05T01:53+02:00,A20,R,28.1,1,speedlimit
2026-09-05T01:53+02:00,A20,R,30.196,3,speedlimit
2026-09-05T01:53+02:00,A4,L,4.44,3,lane_closed
2026-09-05T01:53+02:00,A4,R,71.21,3,speedlimit
2026-09-05T01:53+02:00,A15,R,47.775,5,speedlimit
2026-09-05T01:53+02:00,A15,R,46.468,1,lane_closed
2026-09-05T01:53+02:00,A15,R,51.88,3,lane_closed
2026-09-05T01:53+02:00,A4,R,62.135,2,speedlimit
2026-09-05T01:53+02:00,A15,p,50.4,1,lane_closed
2026-09-05T01:53+02:00,A4,R,70.964,1,lane_closed
2026-09-05T01:53+02:00,A20,L,36.94,1,lane_closed
2026-09-05T01:53+02:00,A4,R,2.367,4,lane_closed
2026-09-05T01:53+02:00,A15,R,58.05,1,lane_closed
2026-09-05T01:53+02:00,A15,R,74.625,3,lane_closed
2026-09-05T01:53+02:00,A4,R,72.443,2,lane_closed
2026-09-05T01:53+02:00,A4,R,61.98,1,speedlimit
2026-09-05T01:53+02:00,A15,R,58.46,2,lane_closed
2026-09-05T01:53+02:00,A15,R,43.01,1,lane_closed
2026-09-05T01:53+02:00,A4,R,73.974,2,lane_closed
2026-09-05T01:53+02:00,A15,R,46.17,3,lane_closed
