ts,soort,lat,lon
2026-09-14T01:49+02:00,ReroutingManagement,51.91966,4.3076773
2026-09-14T01:49+02:00,VehicleObstruction,51.864693,4.522733
2026-09-14T01:49+02:00,ReroutingManagement,51.837963,4.618822
2026-09-14T01:49+02:00,ReroutingManagement,51.858543,4.5923424
2026-09-14T01:49+02:00,VehicleObstruction,51.865242,4.5175242
2026-09-14T01:49+02:00,GeneralObstruction,51.908188,4.444937
2026-09-14T01:49+02:00,VehicleObstruction,51.895454,4.376304
2026-09-14T01:49+02:00,ReroutingManagement,51.865532,4.507913
2026-09-14T01:49+02:00,ReroutingManagement,51.865532,4.507913
2026-09-14T01:49+02:00,ReroutingManagement,51.87524,4.3519816
2026-09-14T01:49+02:00,GeneralObstruction,51.946335,4.522736
2026-09-14T01:49+02:00,ReroutingManagement,51.862785,4.5168896
2026-09-14T01:49+02:00,ReroutingManagement,51.86456,4.4974065
2026-09-14T01:49+02:00,ReroutingManagement,51.92618,4.382772
2026-09-14T01:49+02:00,ReroutingManagement,51.866863,4.515301
2026-09-14T01:49+02:00,VehicleObstruction,51.868732,4.515175
2026-09-14T01:49+02:00,VehicleObstruction,51.877174,4.3705606
2026-09-14T01:49+02:00,VehicleObstruction,51.865433,4.5031486
2026-09-14T01:49+02:00,VehicleObstruction,51.89343,4.378137
2026-09-14T01:49+02:00,VehicleObstruction,51.860325,4.516268
2026-09-14T01:49+02:00,VehicleObstruction,51.895515,4.3733597
2026-09-14T01:49+02:00,VehicleObstruction,51.877403,4.3774986
2026-09-14T01:49+02:00,ReroutingManagement,51.8982,4.5477395
2026-09-14T01:49+02:00,VehicleObstruction,51.871864,4.5762143
2026-09-14T02:49+02:00,VehicleObstruction,51.864693,4.522749
2026-09-14T02:49+02:00,ReroutingManagement,51.91966,4.3076773
2026-09-14T02:49+02:00,ReroutingManagement,51.837963,4.618822
2026-09-14T02:49+02:00,ReroutingManagement,51.858543,4.5923424
2026-09-14T02:49+02:00,VehicleObstruction,51.865242,4.5175242
2026-09-14T02:49+02:00,VehicleObstruction,51.895454,4.376304
2026-09-14T02:49+02:00,ReroutingManagement,51.865532,4.507913
2026-09-14T02:49+02:00,ReroutingManagement,51.865532,4.507913
2026-09-14T02:49+02:00,ReroutingManagement,51.87524,4.3519816
2026-09-14T02:49+02:00,ReroutingManagement,51.862785,4.5168896
2026-09-14T02:49+02:00,ReroutingManagement,51.86456,4.4974065
2026-09-14T02:49+02:00,ReroutingManagement,51.92618,4.382772
2026-09-14T02:49+02:00,ReroutingManagement,51.866863,4.515301
2026-09-14T02:49+02:00,VehicleObstruction,51.868732,4.515175
2026-09-14T02:49+02:00,VehicleObstruction,51.864967,4.5038385
2026-09-14T02:49+02:00,VehicleObstruction,51.877174,4.3705606
2026-09-14T02:49+02:00,VehicleObstruction,51.860325,4.516268
2026-09-14T02:49+02:00,VehicleObstruction,51.877403,4.3774986
2026-09-14T02:49+02:00,ReroutingManagement,51.8982,4.5477395
2026-09-14T02:49+02:00,VehicleObstruction,51.871864,4.5762143
2026-09-14T02:49+02:00,Brugopening,51.871284,4.331145
2026-09-14T03:49+02:00,ReroutingManagement,51.91966,4.3076773
2026-09-14T03:49+02:00,ReroutingManagement,51.837963,4.618822
2026-09-14T03:49+02:00,ReroutingManagement,51.858543,4.5923424
2026-09-14T03:49+02:00,VehicleObstruction,51.895454,4.376304
2026-09-14T03:49+02:00,VehicleObstruction,51.877174,4.3705606
2026-09-14T03:49+02:00,VehicleObstruction,51.877403,4.3774986
2026-09-14T03:49+02:00,ReroutingManagement,51.8982,4.5477395
2026-09-14T03:49+02:00,VehicleObstruction,51.871864,4.5762143
2026-09-14T03:49+02:00,VehicleObstruction,51.895832,4.3759465
2026-09-14T04:49+02:00,ReroutingManagement,51.91966,4.3076773
2026-09-14T04:49+02:00,ReroutingManagement,51.837963,4.618822
2026-09-14T04:49+02:00,ReroutingManagement,51.858543,4.5923424
2026-09-14T04:49+02:00,VehicleObstruction,51.895454,4.376304
2026-09-14T04:49+02:00,VehicleObstruction,51.893112,4.378866
2026-09-14T04:49+02:00,ReroutingManagement,51.8982,4.5477395
2026-09-14T04:49+02:00,VehicleObstruction,51.871864,4.5762143
2026-09-14T06:49+02:00,VehicleObstruction,51.924644,4.569357
2026-09-14T06:49+02:00,ReroutingManagement,51.91966,4.3076773
2026-09-14T06:49+02:00,ReroutingManagement,51.837963,4.618822
2026-09-14T06:49+02:00,ReroutingManagement,51.858543,4.5923424
2026-09-14T06:49+02:00,Brugopening,51.90807,4.463068
2026-09-14T06:49+02:00,VehicleObstruction,51.931057,4.538354
2026-09-14T06:49+02:00,VehicleObstruction,51.895454,4.376304
2026-09-14T06:49+02:00,VehicleObstruction,51.91497,4.534047
2026-09-14T06:49+02:00,VehicleObstruction,51.86921,4.556621
2026-09-14T06:49+02:00,VehicleObstruction,51.93049,4.5781465
2026-09-14T06:49+02:00,VehicleObstruction,51.836586,4.6183248
2026-09-14T06:49+02:00,VehicleObstruction,51.85557,4.516116
2026-09-14T06:49+02:00,VehicleObstruction,51.86644,4.584418
2026-09-14T06:49+02:00,VehicleObstruction,51.851013,4.3180604
2026-09-14T06:49+02:00,VehicleObstruction,51.93115,4.538135
2026-09-14T06:49+02:00,VehicleObstruction,51.893112,4.378866
2026-09-14T06:49+02:00,ReroutingManagement,51.8982,4.5477395
2026-09-14T06:49+02:00,VehicleObstruction,51.871864,4.5762143
2026-09-14T07:50+02:00,Accident,51.85926,4.5158443
2026-09-14T07:50+02:00,GeneralObstruction,51.97589,4.397919
2026-09-14T07:50+02:00,VehicleObstruction,51.836803,4.6179223
2026-09-14T07:50+02:00,ReroutingManagement,51.91966,4.3076773
2026-09-14T07:50+02:00,ReroutingManagement,51.837963,4.618822
2026-09-14T07:50+02:00,ReroutingManagement,51.858543,4.5923424
2026-09-14T07:50+02:00,VehicleObstruction,51.85531,4.516129
2026-09-14T07:50+02:00,VehicleObstruction,51.928116,4.4805393
2026-09-14T07:50+02:00,VehicleObstruction,51.895454,4.376304
2026-09-14T07:50+02:00,GeneralObstruction,51.84998,4.4931784
2026-09-14T07:50+02:00,VehicleObstruction,51.85662,4.6219096
2026-09-14T07:50+02:00,Brugopening,51.871284,4.331145
2026-09-14T07:50+02:00,GeneralObstruction,51.949543,4.4152756
2026-09-14T07:50+02:00,VehicleObstruction,51.893112,4.378866
2026-09-14T07:50+02:00,Accident,51.856544,4.621544
2026-09-14T07:50+02:00,ReroutingManagement,51.8982,4.5477395
2026-09-14T07:50+02:00,VehicleObstruction,51.871864,4.5762143
2026-09-14T07:50+02:00,VehicleObstruction,51.92562,4.3655844
2026-09-14T07:50+02:00,VehicleObstruction,51.981514,4.621297
2026-09-14T08:49+02:00,VehicleObstruction,51.95235,4.4216094
2026-09-14T08:49+02:00,Accident,51.85926,4.5158443
2026-09-14T08:49+02:00,VehicleObstruction,51.91466,4.5261607
2026-09-14T08:49+02:00,ReroutingManagement,51.91966,4.3076773
2026-09-14T08:49+02:00,GeneralObstruction,51.926983,4.3921213
2026-09-14T08:49+02:00,ReroutingManagement,51.837963,4.618822
2026-09-14T08:49+02:00,GeneralObstruction,51.91436,4.459529
2026-09-14T08:49+02:00,ReroutingManagement,51.858543,4.5923424
2026-09-14T08:49+02:00,VehicleObstruction,51.831497,4.6210966
